"Product Code","Call No","Closed Date","Chargeable","Days With APT","Project Work"
"INFORMER","165898","4 Jun 2015","U","88",""
"MS","167663","21 Oct 2015","Y","88",""
"MS","162561","23 Apr 2015","Y","89","Y"
"MS","164028","29 Jun 2015","N","89","N"
"MS","164771","24 Apr 2015","N","89","N"
"MS","167367","19 Oct 2015","N","89",""
"MS","167398","22 Sep 2015","U","89",""
"ISM","167928","22 Oct 2015","N","89",""
"MS","166117","5 Aug 2015","N","90","N"
"APP","164393","20 May 2015","Y","91","Y"
"SPECTRUM","167255","7 Sep 2015","N","91","N"
"MS","167369","19 Oct 2015","R","91","N"
"INFORMER","167512","22 Sep 2015","U","91",""
"MS","164755","13 Feb 2015","R","92","N"
"SP","167115","22 Sep 2015","B","92",""
"SP","167909","11 Nov 2015","Y","92","N"
"SP","168535","18 Dec 2015","U","92",""
"MS","164218","6 May 2015","Y","93","N"
"SP","165410","23 Apr 2015","R","93",""
"MS","165917","10 Sep 2015","R","93","Y"
"MS","167341","15 Sep 2015","U","94","Y"
"SP","167672","23 Dec 2015","R","94",""
"MS","163627","10 Mar 2015","Y","95","N"
"MS","164742","21 Apr 2015","Y","95","N"
"MS","164915","13 May 2015","N","95","N"
"MS","168504","14 Dec 2015","Y","95","Y"
"MS","161741","22 Jul 2015","N","96",""
"MS","164267","4 Mar 2015","Y","96","N"
"MS","164351","9 Jan 2015","Y","96","Y"
"MS.WEB","167673","15 Dec 2015","Y","96",""
"MS","167775","11 Nov 2015","C","96",""
"MS","163747","23 Jan 2015","B","97","N"
"MS","165100","31 Mar 2015","N","97","N"
"MS","165331","2 Jun 2015","N","97","N"
"SP","167696","16 Oct 2015","U","97",""
"MS","167034","28 Aug 2015","Y","98","Y"
"ACCS","167711","4 Nov 2015","U","98",""
"SP","168280","18 Dec 2015","U","98",""
"MS","168563","22 Dec 2015","Y","98","Y"
"VISAGE","164848","11 Mar 2015","N","99",""
"MS","164957","8 Apr 2015","N","99","N"
"MS","163949","21 Jan 2015","N","100","N"
"MS","167659","21 Dec 2015","N","100","N"
"MS","163823","6 Feb 2015","B","101","N"
"MS","163858","29 Jan 2015","Y","101","N"
"MS","164034","11 Feb 2015","Y","102","N"
"MS","169096","21 Dec 2015","Y","102","N"
"MS.WEB","166644","6 Aug 2015","U","103","Y"
"MS.WEB","167358","19 Oct 2015","N","103",""
"MS","167567","19 Nov 2015","Y","103","N"
"MS","163467","9 Mar 2015","Y","104",""
"MS","164297","29 Jan 2015","N","104","N"
"MS","164622","5 Mar 2015","Y","104","N"
